Number_of_nodes,Average_throughput_udp,Average_delay,Mobility_model,data_rate
1,1793.42,2300.07,1,1
Number_of_nodes,Average_throughput_udp,Average_delay,Mobility_model,data_rate
2,4.11996,5806.69,1,1
Number_of_nodes,Average_throughput_udp,Average_delay,Mobility_model,data_rate
3,2.06028,5047.92,1,1
Number_of_nodes,Average_throughput_udp,Average_delay,Mobility_model,data_rate
4,1.37409,3741.78,1,1
Number_of_nodes,Average_throughput_udp,Average_delay,Mobility_model,data_rate
5,1.03064,3061.08,1,1
Number_of_nodes,Average_throughput_udp,Average_delay,Mobility_model,data_rate
1,1435.26,2874.05,1,2
Number_of_nodes,Average_throughput_udp,Average_delay,Mobility_model,data_rate
2,4.11975,3664.04,1,2
Number_of_nodes,Average_throughput_udp,Average_delay,Mobility_model,data_rate
3,2.06105,4242.04,1,2
Number_of_nodes,Average_throughput_udp,Average_delay,Mobility_model,data_rate
4,1.37426,3562.44,1,2
Number_of_nodes,Average_throughput_udp,Average_delay,Mobility_model,data_rate
5,1.03068,3105.35,1,2
Number_of_nodes,Average_throughput_udp,Average_delay,Mobility_model,data_rate
1,1281.98,3217.67,1,3
Number_of_nodes,Average_throughput_udp,Average_delay,Mobility_model,data_rate
2,4.12139,4221.79,1,3
Number_of_nodes,Average_throughput_udp,Average_delay,Mobility_model,data_rate
3,2.06159,2778.88,1,3
Number_of_nodes,Average_throughput_udp,Average_delay,Mobility_model,data_rate
4,1.37419,2114.56,1,3
Number_of_nodes,Average_throughput_udp,Average_delay,Mobility_model,data_rate
5,1.03084,2373.91,1,3
Number_of_nodes,Average_throughput_udp,Average_delay,Mobility_model,data_rate
1,405.491,10172.9,1,4
Number_of_nodes,Average_throughput_udp,Average_delay,Mobility_model,data_rate
2,4.12013,1846.95,1,4
Number_of_nodes,Average_throughput_udp,Average_delay,Mobility_model,data_rate
3,2.06092,2350.3,1,4
Number_of_nodes,Average_throughput_udp,Average_delay,Mobility_model,data_rate
4,1.37438,2659.11,1,4
Number_of_nodes,Average_throughput_udp,Average_delay,Mobility_model,data_rate
5,1.03089,2240.85,1,4
Number_of_nodes,Average_throughput_udp,Average_delay,Mobility_model,data_rate
1,692.478,5956.87,1,5
Number_of_nodes,Average_throughput_udp,Average_delay,Mobility_model,data_rate
2,4.1194,1736.06,1,5
Number_of_nodes,Average_throughput_udp,Average_delay,Mobility_model,data_rate
3,2.06111,2885.61,1,5
Number_of_nodes,Average_throughput_udp,Average_delay,Mobility_model,data_rate
4,1.37439,3600.12,1,5
Number_of_nodes,Average_throughput_udp,Average_delay,Mobility_model,data_rate
5,1.0309,1957.75,1,5
Number_of_nodes,Average_throughput_udp,Average_delay,Mobility_model,data_rate
1,446.427,9240.04,2,1
Number_of_nodes,Average_throughput_udp,Average_delay,Mobility_model,data_rate
2,4.11855,2657.57,2,1
Number_of_nodes,Average_throughput_udp,Average_delay,Mobility_model,data_rate
3,2.06073,3362.82,2,1
Number_of_nodes,Average_throughput_udp,Average_delay,Mobility_model,data_rate
4,1.37406,3191.89,2,1
Number_of_nodes,Average_throughput_udp,Average_delay,Mobility_model,data_rate
5,1.03057,3586.41,2,1
Number_of_nodes,Average_throughput_udp,Average_delay,Mobility_model,data_rate
1,1368.57,3014.09,2,2
Number_of_nodes,Average_throughput_udp,Average_delay,Mobility_model,data_rate
2,4.11918,4694.04,2,2
Number_of_nodes,Average_throughput_udp,Average_delay,Mobility_model,data_rate
3,2.06012,2849.05,2,2
Number_of_nodes,Average_throughput_udp,Average_delay,Mobility_model,data_rate
4,1.37438,2135.02,2,2
Number_of_nodes,Average_throughput_udp,Average_delay,Mobility_model,data_rate
5,1.03066,2981.22,2,2
Number_of_nodes,Average_throughput_udp,Average_delay,Mobility_model,data_rate
1,973.41,4237.68,2,3
Number_of_nodes,Average_throughput_udp,Average_delay,Mobility_model,data_rate
2,4.11908,4442.39,2,3
Number_of_nodes,Average_throughput_udp,Average_delay,Mobility_model,data_rate
3,2.0608,2528.1,2,3
Number_of_nodes,Average_throughput_udp,Average_delay,Mobility_model,data_rate
4,1.37413,2654.17,2,3
Number_of_nodes,Average_throughput_udp,Average_delay,Mobility_model,data_rate
5,1.03088,2860.59,2,3
Number_of_nodes,Average_throughput_udp,Average_delay,Mobility_model,data_rate
1,593.282,6952.85,2,4
Number_of_nodes,Average_throughput_udp,Average_delay,Mobility_model,data_rate
2,4.11997,3757.9,2,4
Number_of_nodes,Average_throughput_udp,Average_delay,Mobility_model,data_rate
3,2.06125,2055.24,2,4
Number_of_nodes,Average_throughput_udp,Average_delay,Mobility_model,data_rate
4,1.37433,2447.94,2,4
Number_of_nodes,Average_throughput_udp,Average_delay,Mobility_model,data_rate
5,1.03064,2866.88,2,4
Number_of_nodes,Average_throughput_udp,Average_delay,Mobility_model,data_rate
1,591.239,6976.87,2,5
Number_of_nodes,Average_throughput_udp,Average_delay,Mobility_model,data_rate
2,4.11973,4822.97,2,5
Number_of_nodes,Average_throughput_udp,Average_delay,Mobility_model,data_rate
3,2.0607,4020.46,2,5
Number_of_nodes,Average_throughput_udp,Average_delay,Mobility_model,data_rate
4,1.07371,3.33334e+09,2,5
Number_of_nodes,Average_throughput_udp,Average_delay,Mobility_model,data_rate
5,0.824711,2.5e+09,2,5
Number_of_nodes,Average_throughput_udp,Average_delay,Mobility_model,data_rate
1,692.113,5960.01,3,1
